Districts,Total Road Accidents - Incidence,Total Road Accidents - Victims,Total Road Accidents - Rate,Hit and Run - I,Hit and Run - V,Hit and Run - R,Other Accidents - I,Other Accidents - V,Other Accidents - R
Bagalkot,384,638,17.3,23,26,1,361,612,16.3
Bengaluru City,887,949,5.8,274,285,1.8,613,664,4
Bengaluru District,648,737,54.5,43,43,3.6,605,694,50.8
Belagavi District,754,1054,20.2,78,81,2.1,676,973,18.1
Ballari,251,252,14,16,16,0.9,235,236,13.1
Bidar,329,398,16.6,34,41,1.7,295,357,14.9
Vijayapura,425,480,15.6,34,34,1.2,391,446,14.4
Chikkaballapura,313,579,22.4,71,136,5.1,242,443,17.3
Chamarajnagar,180,306,16.5,12,12,1.1,168,294,15.4
Chikkamagaluru,257,281,22.7,8,8,0.7,249,273,22
Chitradurga,441,463,23.9,15,15,0.8,426,448,23.1
Dakshina Kannada,127,134,7,4,4,0.2,123,130,6.8
Davanagere,286,338,15.9,16,17,0.9,270,321,15
Dharwad,234,404,21.8,52,74,4.8,182,330,16.9
Gadag,150,263,12.6,10,12,0.8,140,251,11.8
Kalaburgi,319,492,15.2,18,20,0.9,301,472,14.4
Hassan,486,519,26.4,17,17,0.9,469,502,25.4
Haveri,257,281,14.2,21,23,1.2,236,258,13
Hubballi Dharwad City,115,157,10.2,26,26,2.3,89,131,7.9
KGF,67,80,9.8,18,21,2.6,49,59,7.2
Kodagu,81,88,14.4,4,4,0.7,77,84,13.7
Kolar,246,270,23.3,27,36,2.6,219,234,20.7
Koppal,248,329,14.9,52,52,3.1,196,277,11.8
Mandya,488,541,26.3,26,26,1.4,462,515,24.9
Mangaluru City,159,165,29.3,8,8,1.5,151,157,27.8
Mysuru City,163,168,11.3,11,11,0.8,152,157,10.5
Mysuru District,439,472,21.4,28,28,1.4,411,444,20
Raichur,260,291,11.3,22,26,1,238,265,10.4
KRailways,1,1,-,0,0,-,1,1,-
Ramanagara,381,446,33.2,23,25,2,358,421,31.2
Shimoga,344,394,18.2,17,21,0.9,327,373,17.3
Tumakuru,730,833,26.1,87,104,3.1,643,729,23
Udupi,244,296,19.3,7,8,0.6,237,288,18.8
Uttara Kannada,233,502,15.1,13,13,0.8,220,489,14.2
Yadgiri,158,224,10.5,8,8,0.5,150,216,10
Belagavi City,132,190,7,22,25,1.2,110,165,5.8
Kalaburgi City,118,129,11.4,11,11,1.1,107,118,10.4
Vijayanagara,249,270,15.2,14,14,0.9,235,256,14.4
Total Districts,11584,14414,15.7,1170,1331,1.6,10414,13083,14.1
